Type,Class_Binary,Class_Multimodal,capacitance ,resistance,impedance,r solution
CEA-3ng/ml,Benign,Low Risk,8.27E-06,3.16E+05,10731.6805,30.45
CEA-3ng/ml,Benign,Low Risk,8.90E-06,2.72E+05,9713.80448,27.78
CEA-3ng/ml,Benign,Low Risk,8.27E-06,3.16E+05,10731.6805,30.45
CEA-4ng/ml,Benign,Low Risk,8.54E-06,2.82E+05,9223.71603,27.89
CEA-4ng/ml,Benign,Low Risk,8.67E-06,1.72E+05,10731.6805,31.88
CEA-4ng/ml,Benign,Low Risk,8.54E-06,2.82E+05,9223.71603,27.89
CEA-4ng/ml,Benign,Low Risk,8.67E-06,1.72E+05,10731.6805,31.88
CEA-4ng/ml,Benign,Low Risk,8.54E-06,2.82E+05,9223.71603,27.89
CEA-4ng/ml,Benign,Low Risk,8.67E-06,1.72E+05,10731.6805,31.88
CEA-5ng/ml,Benign,Low Risk,9.63E-06,4.93E+05,9713.80448,23.24
CEA-5ng/ml,Benign,Low Risk,7.51E-06,4.59E+04,10731.6805,25.07
CEA-5ng/ml,Benign,Low Risk,9.63E-06,4.93E+05,9713.80448,23.24
CEA-5ng/ml,Benign,Low Risk,7.51E-06,4.59E+04,10731.6805,25.07
CEA-5ng/ml,Benign,Low Risk,9.63E-06,4.93E+05,9713.80448,23.24
CEA-5ng/ml,Benign,Low Risk,7.51E-06,4.59E+04,10731.6805,25.07
CEA-7.5ng/ml,Malignant,High Risk,9.67E-06,3.47E+05,9336.81337,30.26
CEA-7.5ng/ml,Malignant,High Risk,8.93E-06,3.28E+06,11623.89282,40.09
CEA-7.5ng/ml,Malignant,High Risk,9.67E-06,3.47E+05,9336.81337,30.26
CEA-7.5ng/ml,Malignant,High Risk,8.93E-06,3.28E+06,11623.89282,40.09
CEA-7.5ng/ml,Malignant,High Risk,9.67E-06,3.47E+05,9336.81337,30.26
CEA-7.5ng/ml,Malignant,High Risk,8.93E-06,3.28E+06,11623.89282,40.09
CEA-10ng/ml,Malignant,High Risk,9.51E-06,3.28E+05,9424.77796,33.11
CEA-10ng/ml,Malignant,High Risk,8.02E-06,3.64E+05,11272.03444,31.57
CEA-10ng/ml,Malignant,High Risk,9.51E-06,3.28E+05,9424.77796,33.11
CEA-10ng/ml,Malignant,High Risk,8.02E-06,3.64E+05,11272.03444,31.57
CEA-10ng/ml,Malignant,High Risk,9.51E-06,3.28E+05,9424.77796,33.11
CEA-10ng/ml,Malignant,High Risk,8.02E-06,3.64E+05,11272.03444,31.57
CEA-25ng/ml,Malignant,High Risk,9.52E-06,2.58E+05,8909.55677,31.01
CEA-25ng/ml,Malignant,High Risk,7.87E-06,2.40E+04,12377.87506,35.82
CEA-25ng/ml,Malignant,High Risk,9.52E-06,2.58E+05,8909.55677,31.01
CEA-25ng/ml,Malignant,High Risk,7.87E-06,2.40E+04,12377.87506,35.82
CEA-25ng/ml,Malignant,High Risk,9.52E-06,2.58E+05,8909.55677,31.01
CEA-25ng/ml,Malignant,High Risk,7.87E-06,2.40E+04,12377.87506,35.82
CEA-1ug/ml,Malignant,High Risk,8.43E-06,2.05E+05,8155.57453,62.77
CEA-1ug/ml,Malignant,High Risk,8.18E-06,2.04E+05,9387.07885,34.1
CEA-1ug/ml,Malignant,High Risk,8.43E-06,2.05E+05,8155.57453,62.77
CEA-1ug/ml,Malignant,High Risk,8.18E-06,2.04E+05,9387.07885,34.1
CEA-1ug/ml,Malignant,High Risk,8.43E-06,2.05E+05,8155.57453,62.77
CEA-1ug/ml,Malignant,High Risk,8.18E-06,2.04E+05,9387.07885,34.1
CEA-1ug/ml,Malignant,High Risk,8.18E-06,2.04E+05,9387.07885,34.1
CEA-1ug/ml,Malignant,High Risk,8.43E-06,2.05E+05,8155.57453,62.77
CEA-1ug/ml,Malignant,High Risk,8.18E-06,2.04E+05,9387.07885,34.1
CEA-25ng/ml,Malignant,High Risk,7.87E-06,2.40E+04,12377.87506,35.82
CEA-25ng/ml,Malignant,High Risk,9.52E-06,2.58E+05,8909.55677,31.01
CEA-25ng/ml,Malignant,High Risk,7.87E-06,2.40E+04,12377.87506,35.82
CEA-5ng/ml,Benign,Low Risk,7.51E-06,4.59E+04,10731.6805,25.07
CEA-5ng/ml,Benign,Low Risk,9.63E-06,4.93E+05,9713.80448,23.24
CEA-5ng/ml,Benign,Low Risk,7.51E-06,4.59E+04,10731.6805,25.07
CEA-1ug/ml,Malignant,High Risk,8.18E-06,2.04E+05,9387.07885,34.1
CEA-1ug/ml,Malignant,High Risk,8.43E-06,2.05E+05,8155.57453,62.77
CEA-1ug/ml,Malignant,High Risk,8.18E-06,2.04E+05,9387.07885,34.1
